iter	Passed	Remaining
0	195	194902
1	226	112980
2	252	84014
3	276	68911
4	300	59852
5	320	53124
6	329	46677
7	352	43692
8	376	41415
9	401	39700
10	421	37889
11	445	36717
12	457	34726
13	479	33792
14	503	33066
15	515	31677
16	533	30868
17	556	30386
18	565	29202
19	577	28299
20	595	27740
21	618	27477
22	641	27258
23	664	27012
24	687	26799
25	709	26582
26	732	26394
27	743	25820
28	782	26209
29	810	26219
30	837	26192
31	848	25680
32	878	25756
33	911	25902
34	944	26053
35	976	26138
36	1007	26233
37	1042	26396
38	1074	26478
39	1103	26490
40	1134	26537
41	1164	26556
42	1199	26698
43	1221	26541
44	1251	26556
45	1294	26856
46	1326	26898
47	1359	26972
48	1377	26743
49	1396	26528
50	1424	26508
51	1450	26444
52	1460	26090
53	1486	26033
54	1513	26004
55	1531	25817
56	1562	25847
57	1581	25678
58	1602	25558
59	1624	25457
60	1651	25423
61	1680	25427
62	1710	25438
63	1739	25441
64	1762	25358
65	1846	26129
66	1872	26073
67	1882	25798
68	1915	25846
69	1953	25956
70	1985	25981
71	2009	25898
72	2046	25982
73	2072	25938
74	2112	26051
75	2134	25956
76	2163	25932
77	2193	25929
78	2222	25914
79	2232	25674
80	2241	25433
81	2267	25386
82	2294	25346
83	2319	25290
84	2347	25266
85	2374	25237
86	2399	25183
87	2425	25134
88	2449	25077
89	2478	25059
90	2487	24844
91	2507	24743
92	2538	24760
93	2563	24706
94	2592	24701
95	2624	24712
96	2653	24703
97	2701	24867
98	2730	24851
99	2757	24819
100	2782	24763
101	2814	24776
102	2838	24720
103	2861	24653
104	2884	24590
105	2904	24492
106	2938	24520
107	2963	24474
108	2986	24414
109	3010	24355
110	3034	24300
111	3058	24248
112	3083	24201
113	3107	24149
114	3130	24094
115	3155	24047
116	3183	24022
117	3206	23965
118	3230	23913
119	3255	23871
120	3259	23680
121	3281	23616
122	3299	23526
123	3321	23465
124	3336	23356
125	3358	23299
126	3380	23239
127	3394	23122
128	3418	23079
129	3422	22902
130	3436	22797
131	3463	22775
132	3493	22770
133	3515	22718
134	3536	22659
135	3553	22572
136	3580	22556
137	3602	22499
138	3615	22397
139	3654	22447
140	3666	22336
141	3685	22270
142	3707	22221
143	3734	22200
144	3754	22139
145	3777	22094
146	3805	22080
147	3827	22035
148	3845	21965
149	3868	21920
150	3890	21876
151	3912	21829
152	3934	21782
153	3958	21748
154	3987	21738
155	4011	21703
156	4033	21659
157	4041	21537
158	4062	21489
159	4083	21440
160	4104	21391
161	4126	21346
162	4149	21306
163	4172	21268
164	4194	21225
165	4220	21203
166	4242	21159
167	4262	21110
168	4283	21062
169	4304	21016
170	4325	20967
171	4346	20926
172	4367	20878
173	4395	20867
174	4417	20825
175	4438	20779
176	4467	20771
177	4472	20652
178	4485	20574
179	4506	20529
180	4532	20510
181	4552	20462
182	4572	20412
183	4607	20435
184	4631	20402
185	4650	20353
186	4669	20302
187	4688	20250
188	4707	20200
189	4747	20239
190	4766	20190
191	4785	20140
192	4804	20088
193	4823	20039
194	4844	19999
